Date,Time,Open,High,Low,Close,Volume
20191001,7:00:00,8347.9,8383.3,8315.2,8374.7,240
20191001,8:00:00,8374.5,8379.2,8315.7,8337.4,240
20191001,9:00:00,8337.3,8338.1,8262.8,8287.3,240
20191001,10:00:00,8287.3,8327.6,8264.1,8272.2,240
20191001,11:00:00,8272,8322.3,8255.7,8321.2,240
20191001,12:00:00,8321.2,8392.9,8272.9,8281.3,240
20191001,13:00:00,8281.3,8344.4,8248.4,8311.7,240
20191001,14:00:00,8311.8,8329.3,8282.1,8303.1,240
20191001,15:00:00,8303,8336.3,8273.9,8332.4,240
20191001,16:00:00,8332.3,8435.7,8295.5,8398.4,240
20191001,17:00:00,8398.9,8471.6,8209.1,8242.7,240
20191001,18:00:00,8242.8,8287.4,8216.5,8253.2,240
20191001,19:00:00,8253.2,8260.2,8192.4,8259.8,240
20191001,20:00:00,8259.8,8361.2,8240.5,8317.9,240
20191001,21:00:00,8317.9,8359.4,8251.8,8268.3,240
20191001,22:00:00,8268.2,8308.7,8243.5,8296.1,240
20191001,23:00:00,8296.9,8327.1,8238.1,8266.1,240
20191002,0:00:00,8265.8,8290.5,8235.9,8251.8,240
20191002,1:00:00,8251.9,8293.8,8243.7,8246.5,240
20191002,2:00:00,8246.4,8266.3,8212.8,8214.8,240
20191002,3:00:00,8214.8,8229.2,8173.2,8216.7,240
20191002,4:00:00,8216.7,8223.1,8156.8,8181.2,240
20191002,5:00:00,8181,8185,8120.2,8129,240
20191002,6:00:00,8129.1,8183.2,8129.1,8171.8,240
20191002,7:00:00,8171.8,8196.1,8162.6,8162.7,240
20191002,8:00:00,8162.7,8231.8,8161.7,8195.5,240
20191002,9:00:00,8195.3,8219.9,8179.1,8191.9,240
20191002,10:00:00,8191.9,8211.6,8171,8210.7,240
20191002,11:00:00,8210.7,8245.6,8191.1,8229.1,240
20191002,12:00:00,8229.1,8255.3,8166.9,8179.2,240
20191002,13:00:00,8179.3,8215.9,8161.9,8171.5,240
20191002,14:00:00,8171.4,8206.1,8154,8192.8,240
20191002,15:00:00,8192.8,8206.6,8168.8,8192.7,240
20191002,16:00:00,8192.8,8227.1,8167.2,8172.7,240
20191002,17:00:00,8172.7,8188,8141.5,8185.9,240
20191002,18:00:00,8185.6,8216.3,8174.7,8180.8,240
20191002,19:00:00,8181,8217,8175.7,8209.7,240
20191002,20:00:00,8209.7,8222.3,8172,8175.7,240
20191002,21:00:00,8175.7,8213.4,8175.5,8213.1,240
20191002,22:00:00,8213.1,8235.6,8191.4,8226.9,240
20191002,23:00:00,8226.6,8334.1,8226.4,8326.9,240
20191003,0:00:00,8326.8,8358.8,8279.2,8289.3,240
20191003,1:00:00,8289.3,8309.9,8276.3,8289.2,240
20191003,2:00:00,8289.1,8310.2,8288.7,8309,240
20191003,3:00:00,8309,8310.7,8287.5,8288.8,240
20191003,4:00:00,8288.8,8331.8,8288.8,8296.2,240
20191003,5:00:00,8296.2,8303.3,8250.2,8250.2,240
20191003,6:00:00,8250.2,8262.8,8221.8,8221.8,240
20191003,7:00:00,8221.8,8234.1,8206.7,8222,240
20191003,8:00:00,8222,8251.3,8200.2,8251.3,240
20191003,9:00:00,8251.5,8254.3,8217.7,8231.9,240
20191003,10:00:00,8231.8,8233.7,8145.6,8167.8,240
20191003,11:00:00,8167.8,8184.7,8155.6,8173.8,240
20191003,12:00:00,8173.8,8201.2,8164.1,8180.4,240
20191003,13:00:00,8180.4,8190.1,8161.6,8167.8,240
20191003,14:00:00,8167.8,8171.4,8029.7,8054.6,240
20191003,15:00:00,8054.6,8085.9,8034.1,8059.5,240
20191003,16:00:00,8059.5,8157.9,8047,8124.9,240
20191003,17:00:00,8124.9,8125.4,8077.1,8094.3,240
20191003,18:00:00,8094.2,8094.3,8078.6,8088.5,240
20191003,19:00:00,8088.6,8107.2,8040,8103.6,240
20191003,20:00:00,8103.6,8121.1,8076.8,8090.8,240
20191003,21:00:00,8087.8,8148.8,8069.4,8120.6,240
20191003,22:00:00,8120.6,8153.2,8094.3,8151.9,240
20191003,23:00:00,8151.9,8238.9,8149.4,8184.4,240
20191004,0:00:00,8184.6,8187.7,8035.1,8059.8,240
20191004,1:00:00,8061.5,8086.9,8008.9,8068.6,240
20191004,2:00:00,8067.8,8081.5,8048.7,8048.7,240
20191004,3:00:00,8048.7,8069.5,8030.3,8057.5,240
20191004,4:00:00,8057.5,8057.6,8008.4,8016.1,240
20191004,5:00:00,8016.8,8065.8,7971.9,8046.6,240
20191004,6:00:00,8046.8,8078.6,8043.9,8059.2,240
20191004,7:00:00,8059.3,8086.8,8050.6,8084.3,240
20191004,8:00:00,8084.3,8084.7,8037.4,8041.7,240
20191004,9:00:00,8041.6,8073.4,8041.3,8073.4,240
20191004,10:00:00,8073.4,8124.2,8069.3,8076.7,240
20191004,11:00:00,8076.7,8122.2,8069.7,8103.1,240
20191004,12:00:00,8103,8121.5,8071.1,8075,240
20191004,13:00:00,8075,8126.4,8074.6,8119.4,240
20191004,14:00:00,8119.5,8132.9,8095.6,8115.8,240
20191004,15:00:00,8115.8,8121.5,8082.3,8102,240
20191004,16:00:00,8102.1,8161.5,8081.6,8138.6,240
20191004,17:00:00,8138.7,8139.1,8105.9,8124.4,240
20191004,18:00:00,8124.3,8157,8116.6,8142.1,240
20191004,19:00:00,8142.2,8155.3,8130.9,8146.1,240
20191004,20:00:00,8146,8178.7,8107.4,8109.1,240
20191006,21:00:00,7849.5,7871.9,7821.4,7869,240
20191006,22:00:00,7868.9,7868.9,7793.7,7793.7,240
20191006,23:00:00,7793.6,7819.4,7752.9,7803.8,240
20191007,0:00:00,7803.9,7809.8,7713.6,7764.5,240
20191007,1:00:00,7764.5,7775.2,7729.1,7763,240
20191007,2:00:00,7763,7789.5,7745.6,7769.9,240
20191007,3:00:00,7769.9,7854.7,7769.9,7814.1,240
20191007,4:00:00,7814.2,7833.3,7783.1,7786.8,240
20191007,5:00:00,7786.8,7791.1,7755.8,7783.4,240
20191007,6:00:00,7783.3,7795,7749.8,7774.6,240
20191007,7:00:00,7774.6,7826.9,7774.3,7813.6,240
20191007,8:00:00,7813.6,7890.5,7813.4,7836.7,240
20191007,9:00:00,7836.7,7897.4,7826.3,7877.2,240
20191007,10:00:00,7877.2,8002.8,7876.7,7949.8,240
20191007,11:00:00,7949.9,7982.1,7929.4,7933.9,240
20191007,12:00:00,7933.8,8107.9,7933.6,8071.4,240
20191007,13:00:00,8072.2,8158.1,8072.2,8103.5,240
20191007,14:00:00,8103.6,8121.7,8076.1,8115.2,240
20191007,15:00:00,8115.2,8184.9,8104.6,8139.7,240
20191007,16:00:00,8139.6,8202.9,8104.2,8193.2,240
20191007,17:00:00,8193.1,8231.3,8175.2,8221,240
20191007,18:00:00,8220.8,8254.3,8173.3,8193.1,240
20191007,19:00:00,8192.9,8202.6,8167.3,8172.8,240
20191007,20:00:00,8172.6,8199.1,8144,8158.6,240
20191007,21:00:00,8158.4,8173.5,8144.5,8149.6,240
20191007,22:00:00,8149.4,8195.1,8149.3,8186.6,240
20191007,23:00:00,8186.8,8211.7,8151.4,8153.9,240
20191008,0:00:00,8153.9,8184.2,8153.9,8180.9,240
20191008,1:00:00,8181,8244.7,8180,8241,240
20191008,2:00:00,8241.1,8284.5,8223.3,8228.6,240
20191008,3:00:00,8228.7,8232.3,8203.7,8221.6,240
20191008,4:00:00,8221.8,8245.7,8179.3,8180.8,240
20191008,5:00:00,8180.6,8208.5,8166.4,8200.9,240
20191008,6:00:00,8200.9,8210.4,8179.6,8191.2,240
20191008,7:00:00,8191.5,8191.5,8157.1,8161.8,240
20191008,8:00:00,8161.8,8161.8,8096.5,8120.7,240
20191008,9:00:00,8120.7,8128.2,8096.8,8127.1,240
20191008,10:00:00,8126.9,8164.5,8112.1,8116.9,240
20191008,11:00:00,8117,8154.3,8111.6,8130.8,240
20191008,12:00:00,8130.8,8177.6,8095.4,8177.5,240
20191008,13:00:00,8177.7,8196.6,8152,8155.4,240
20191008,14:00:00,8155.4,8155.7,8115.2,8142,240
20191008,15:00:00,8142,8170.2,8129.4,8135.2,240
20191008,16:00:00,8134.9,8154.6,8107.3,8117,240
20191008,17:00:00,8117.1,8132.6,8109,8123.9,240
20191008,18:00:00,8123.9,8142.8,8112.7,8137.2,240
20191008,19:00:00,8137.1,8151.6,8110.3,8111.6,240
20191008,20:00:00,8111.6,8138.1,8057.3,8072.4,240
20191008,21:00:00,8072.4,8110.7,8069.4,8108.7,240
20191008,22:00:00,8108.7,8161.9,8104.6,8139.3,240
20191008,23:00:00,8139.1,8158.3,8118.2,8126.3,240
20191009,0:00:00,8126.3,8155.1,8090,8128.3,240
20191009,1:00:00,8128.3,8135.1,8115.2,8115.4,240
20191009,2:00:00,8115.4,8116.6,8072.2,8107.7,240
20191009,3:00:00,8107.7,8113.6,8069.7,8069.7,240
20191009,4:00:00,8069.7,8090.3,8065.1,8076.9,240
20191009,5:00:00,8077.1,8110,8069.2,8094.1,240
20191009,6:00:00,8094.2,8103.1,8083.1,8091.4,240
20191009,7:00:00,8090.8,8132.7,8090.2,8119.3,240
20191009,8:00:00,8119.5,8135.1,8099.2,8134,240
20191009,9:00:00,8134.1,8163,8120.9,8138.2,240
20191009,10:00:00,8138.1,8182.2,8133.1,8150.4,240
20191009,11:00:00,8150.3,8150.8,8112.4,8134.7,240
20191009,12:00:00,8134.7,8136.8,8105.1,8106.6,240
20191009,13:00:00,8106.5,8184.7,8106.2,8184.7,240
20191009,14:00:00,8184.8,8410.4,8184.8,8393.1,240
20191009,15:00:00,8393,8615.6,8392.4,8515.1,240
20191009,16:00:00,8515,8592.3,8474,8531.9,240
20191009,17:00:00,8531.9,8592.4,8528.9,8585.6,240
20191009,18:00:00,8583.7,8634.4,8549.1,8558.8,240
20191009,19:00:00,8558.9,8565.6,8526,8550.3,240
20191009,20:00:00,8550.3,8577.8,8529.8,8532.1,240
20191009,21:00:00,8531.4,8555.5,8484.7,8504.1,240
20191009,22:00:00,8504.1,8578.1,8502.9,8523.8,240
20191009,23:00:00,8524,8563.4,8524,8532.9,240
20191010,0:00:00,8533,8562.4,8524.1,8527.4,240
20191010,1:00:00,8527.4,8529.8,8504.9,8507.4,240
20191010,2:00:00,8507.4,8508.6,8478.9,8508.4,240
20191010,3:00:00,8508.6,8538.1,8500.8,8513.1,240
20191010,4:00:00,8513.1,8549.8,8513.1,8536.2,240
20191010,5:00:00,8536.1,8537.3,8507.1,8517.4,240
20191010,6:00:00,8517.4,8565.4,8505.5,8551.5,240
20191010,7:00:00,8551.5,8604,8535.8,8569.4,240
20191010,8:00:00,8569.6,8577.5,8505.8,8518,240
20191010,9:00:00,8518,8518.2,8458.3,8482.1,240
20191010,10:00:00,8482,8491.8,8443.5,8482.1,240
20191010,11:00:00,8482.2,8502.8,8466.8,8499,240
20191010,12:00:00,8499,8499.2,8399.1,8435,240
20191010,13:00:00,8434.3,8457.3,8411.6,8449.2,240
20191010,14:00:00,8449.2,8471.7,8430.7,8455.6,240
20191010,15:00:00,8455.7,8518,8440.3,8502.3,240
20191010,16:00:00,8502.3,8537.6,8482.4,8489.8,240
20191010,17:00:00,8489.9,8507.7,8465.8,8466.7,240
20191010,18:00:00,8466.7,8502,8459.4,8489,240
20191010,19:00:00,8489,8526.2,8488.9,8526.2,240
20191010,20:00:00,8526.3,8547.2,8506.2,8523,240
20191010,21:00:00,8523,8558.4,8496.1,8511.2,240
20191010,22:00:00,8509.9,8537.5,8499.6,8531.3,240
20191010,23:00:00,8531.4,8536.5,8503.6,8529.4,240
20191011,0:00:00,8529.4,8540.8,8463.6,8478.5,240
20191011,1:00:00,8478.5,8493.5,8455,8491.2,240
20191011,2:00:00,8491.2,8500.3,8470,8486.4,240
20191011,3:00:00,8486.4,8527.7,8476.1,8524.6,240
20191011,4:00:00,8524.6,8691.3,8509.1,8672.2,240
20191011,5:00:00,8672.2,8755.1,8316.8,8388.4,240
20191011,6:00:00,8388.4,8388.8,8333.1,8378.9,240
20191011,7:00:00,8378.9,8386.2,8335.6,8340.5,240
20191011,8:00:00,8340.5,8341,8253.5,8310.8,240
20191011,9:00:00,8310.8,8329.5,8288.7,8298.2,240
20191011,10:00:00,8298.3,8328,8291.1,8319.7,240
20191011,11:00:00,8319.8,8320.3,8236.8,8252.7,240
20191011,12:00:00,8252.8,8304.6,8231.6,8288.8,240
20191011,13:00:00,8288.8,8306.7,8276.6,8294.2,240
20191011,14:00:00,8294.2,8294.5,8241.4,8266.2,240
20191011,15:00:00,8266.4,8298.5,8242.4,8295.6,240
20191011,16:00:00,8295.8,8299.8,8232.2,8289.8,240
20191011,17:00:00,8289.7,8311.5,8278.7,8282.6,240
20191011,18:00:00,8282.5,8301.2,8251.6,8264,240
20191011,19:00:00,8264,8294.3,8258.9,8293.9,240
20191011,20:00:00,8293.6,8308.4,8272.1,8282.6,240
20191013,21:00:00,8191.6,8200.8,8174.4,8194.3,236
20191013,22:00:00,8193.6,8240.6,8191.8,8230.5,240
20191013,23:00:00,8230.6,8260,8223,8224,240
20191014,0:00:00,8224,8224.1,8199.9,8219.3,240
20191014,1:00:00,8219.4,8242.6,8218.6,8237.3,240
20191014,2:00:00,8237.3,8255.7,8231.6,8238.9,240
20191014,3:00:00,8238.9,8258.9,8234.6,8237.4,240
20191014,4:00:00,8236.3,8238.1,8227.2,8227.2,240
20191014,5:00:00,8227.2,8275.2,8223,8261.1,240
20191014,6:00:00,8261,8283.2,8252.2,8265.7,240
20191014,7:00:00,8265.8,8266.8,8234.1,8253.3,240
20191014,8:00:00,8253.4,8267.3,8247.9,8257.6,240
20191014,9:00:00,8257.7,8274.4,8242.6,8255.4,240
20191014,10:00:00,8255.3,8267.2,8244.7,8260.1,240
20191014,11:00:00,8260,8260,8232.6,8236.7,240
20191014,12:00:00,8236.7,8236.9,8191.1,8201.1,240
20191014,13:00:00,8201.1,8235.2,8200.2,8234.8,240
20191014,14:00:00,8234.7,8235,8209.1,8209.1,240
